k,imbalance,lat,lon,region
32,10,40.655311,-73.976571,1
32,10,40.6553253,-73.9722202,1
32,10,40.655336,-73.930768,0
32,10,40.655341,-73.960699,1
32,10,40.655367,-73.974302,1
32,10,40.655381,-73.920293,0
32,10,40.655398,-73.929762,0
32,10,40.6554002,-73.9215451,0
32,10,40.6554107,-74.0032,2
32,10,40.6554111,-74.0062599,2
32,10,40.655421,-73.922889,0
32,10,40.655423,-73.950066,1
32,10,40.6554317,-73.9137793,0
32,10,40.655456,-73.928827,0
32,10,40.6554844,-74.0139169,2
32,10,40.655496,-73.888317,3
32,10,40.6555009,-74.0154482,2
32,10,40.655516,-73.927856,0
32,10,40.655561,-73.892713,3
32,10,40.655561,-73.911996,0
32,10,40.6555739,-73.8733709,3
32,10,40.655576,-73.926888,0
32,10,40.655594,-73.947159,1
32,10,40.65561,-73.977869,2
32,10,40.6556113,-73.8629069,3
32,10,40.6556167,-73.8797943,3
32,10,40.655621,-73.9216465,0
32,10,40.6556258,-73.921797,0
32,10,40.655632,-73.925953,0
32,10,40.6556504,-73.9598603,1
32,10,40.6556515,-73.9735578,1
32,10,40.655652,-73.895572,0
32,10,40.655675,-73.963175,1
32,10,40.655684,-73.899409,0
32,10,40.6556917,-73.979904,2
32,10,40.655694,-73.924983,0
32,10,40.6557,-73.915451,0
32,10,40.655702,-73.911083,0
32,10,40.655745,-73.999256,2
32,10,40.655754,-73.924014,0
32,10,40.655762,-73.894708,3
32,10,40.655802,-73.923305,0
32,10,40.655815,-73.8986056,0
32,10,40.655829,-73.943354,1
32,10,40.655832,-73.887535,3
32,10,40.655835,-73.981222,2
32,10,40.655842,-73.919578,0
32,10,40.655852,-73.910123,0
32,10,40.655875,-73.956388,1
32,10,40.6558786,-74.0160591,2
32,10,40.655885,-73.942401,1
32,10,40.655912,-73.891895,3
32,10,40.655944,-73.941462,1
32,10,40.6559575,-73.8790195,3
32,10,40.655982,-73.897569,0
32,10,40.655995,-73.909177,0
32,10,40.655999,-73.976283,1
32,10,40.656002,-73.940532,1
32,10,40.656018,-73.974756,1
32,10,40.6560346,-74.0027231,2
32,10,40.656063,-73.939559,1
32,10,40.656081,-73.953048,1
32,10,40.656118,-73.896649,0
32,10,40.656123,-73.938593,1
32,10,40.656133,-73.908245,0
32,10,40.65615,-73.977308,1
32,10,40.656162,-73.96091,1
32,10,40.656184,-73.937659,1
32,10,40.6561844,-74.0060078,2
32,10,40.656205,-73.886689,3
32,10,40.6562098,-73.8780911,3
32,10,40.656213,-73.882511,3
32,10,40.656214,-73.914659,0
32,10,40.656221,-73.913144,0
32,10,40.656232,-73.999251,2
32,10,40.656242,-73.936685,1
32,10,40.65626,-73.95016,1
32,10,40.656261,-73.891082,3
32,10,40.656262,-73.895728,0
32,10,40.656273,-73.907307,0
32,10,40.656303,-73.935718,1
32,10,40.656305,-73.918863,0
32,10,40.656361,-73.934784,0
32,10,40.656372,-74.00938,2
32,10,40.656381,-73.980653,2
32,10,40.6563958,-73.9737697,1
32,10,40.656412,-73.906369,0
32,10,40.656423,-73.93381,0
32,10,40.656437,-73.947264,1
32,10,40.6564576,-73.9214918,0
32,10,40.656478,-73.932847,0
32,10,40.656484,-73.924077,0
32,10,40.656486,-73.960073,1
32,10,40.6565222,-74.0050959,2
32,10,40.656524,-73.975856,1
32,10,40.6565317,-74.002035,2
32,10,40.656537,-73.931907,0
32,10,40.656547,-73.90545,0
32,10,40.656552,-73.922828,0
32,10,40.65659,-73.881626,3
32,10,40.656592,-73.984024,2
32,10,40.6565984,-74.0127303,2
32,10,40.65661,-73.930903,0
32,10,40.6566133,-73.961256,1
32,10,40.656616,-73.890264,3
32,10,40.6566176,-73.9816721,2
32,10,40.656684,-73.929898,0
32,10,40.656684,-73.90453,0
32,10,40.656693,-73.894631,3
32,10,40.656711,-73.956478,1
32,10,40.656742,-73.928964,0
32,10,40.656766,-73.918147,0
32,10,40.656783,-73.91378,0
32,10,40.656802,-73.927995,0
32,10,40.6568258,-73.8989627,0
32,10,40.656862,-73.927024,0
32,10,40.656865,-73.998091,2
32,10,40.656911,-73.976657,1
32,10,40.656915,-73.953139,1
32,10,40.6569197,-73.9209935,0
32,10,40.656921,-73.92609,0
32,10,40.65694,-73.98007,2
32,10,40.656945,-73.880813,3
32,10,40.6569574,-73.9827418,2
32,10,40.656963,-74.00879,2
32,10,40.656966,-73.902632,0
32,10,40.65698,-73.889417,3
32,10,40.65698,-73.925141,0
32,10,40.657007,-73.924654,0
32,10,40.657012,-73.922112,0
32,10,40.657095,-73.950247,1
32,10,40.657104,-73.901687,0
32,10,40.657108,-73.913343,0
32,10,40.657137,-73.903644,0
32,10,40.6571539,-74.0015578,2
32,10,40.6571863,-73.9001136,0
32,10,40.6572286,-73.9833567,2
32,10,40.657232,-73.960243,1
32,10,40.657247,-73.912423,0
32,10,40.6572727,-73.9003025,0
32,10,40.6572731,-73.9827723,2
32,10,40.65728,-73.947354,1
32,10,40.657295,-73.879997,3
32,10,40.6573035,-74.004833,2
32,10,40.657316,-73.888633,3
32,10,40.6573284,-73.8931071,3
32,10,40.657333,-73.91727,0
32,10,40.657362,-73.914413,0
32,10,40.657369,-74.013974,2
32,10,40.6573746,-73.9740355,1
32,10,40.6573773,-73.8979264,0
32,10,40.657382,-73.911503,0
32,10,40.6574266,-73.8991111,0
32,10,40.657429,-73.997501,2
32,10,40.657432,-73.945094,1
32,10,40.657454,-73.956558,1
32,10,40.6574717,-73.936814,1
32,10,40.657479,-73.979513,2
32,10,40.657514,-73.976154,1
32,10,40.657517,-74.008195,2
32,10,40.657525,-73.910549,0
32,10,40.6575287,-73.9358377,1
32,10,40.6575357,-73.8988098,0
32,10,40.657537,-73.8952482,0
32,10,40.657537,-73.902746,0
32,10,40.657591,-73.883491,3
32,10,40.657601,-73.990188,2
32,10,40.6576032,-73.8748828,3
32,10,40.657609,-73.942314,1
32,10,40.6576255,-73.8942416,3
32,10,40.6576431,-73.9829238,2
32,10,40.6576449,-73.8960821,0
32,10,40.6576487,-74.000865,2
32,10,40.657654,-73.879165,3
32,10,40.657661,-73.95322,1
32,10,40.657666,-73.909595,0
32,10,40.65768,-73.925407,0
32,10,40.6576819,-73.868546,3
32,10,40.657683,-73.887786,3
32,10,40.6577052,-73.973549,1
32,10,40.6577158,-73.8921586,3
32,10,40.6577161,-73.9837538,2
32,10,40.657768,-73.939615,1
32,10,40.657803,-73.908674,0
32,10,40.6578273,-73.8970858,0
32,10,40.657838,-73.950326,1
32,10,40.6578407,-74.0042537,2
32,10,40.65785,-73.916475,0
32,10,40.6578529,-73.8921306,3
32,10,40.657869,-73.8952187,0
32,10,40.65792,-73.901887,0
32,10,40.657921,-73.986228,2
32,10,40.657935,-73.980268,2
32,10,40.657942,-73.936864,1
32,10,40.657943,-73.907736,0
32,10,40.6579476,-73.8922443,3
32,10,40.65799,-73.996918,2
32,10,40.6579956,-73.8915113,3
32,10,40.657998,-73.878365,3
32,10,40.658001,-73.935895,1
32,10,40.6580116,-73.8923775,3
32,10,40.6580192,-73.9730627,1
32,10,40.658031,-73.947433,1
32,10,40.658052,-73.979023,2
32,10,40.658061,-73.934962,0
32,10,40.6580688,-73.8741284,3
32,10,40.65807,-74.007619,2
32,10,40.658072,-73.960426,1
32,10,40.658084,-73.906795,0
32,10,40.658116,-73.975652,1
32,10,40.658119,-73.933996,0
32,10,40.658121,-73.9208885,0
32,10,40.658134,-73.989593,2
32,10,40.658183,-73.924643,0
32,10,40.658214,-73.944708,1
32,10,40.658218,-73.905879,0
32,10,40.658235,-73.93209,0
32,10,40.6582703,-74.0003945,2
32,10,40.658271,-73.982275,2
32,10,40.6582863,-73.9686002,1
32,10,40.658296,-73.931083,0
32,10,40.658299,-73.9614519,1
32,10,40.658302,-73.90103,0
32,10,40.658306,-73.956649,1
32,10,40.658308,-73.881826,3
32,10,40.6583084,-73.9681095,1
32,10,40.6583166,-73.9841741,2
32,10,40.6583191,-73.8732266,3
32,10,40.658337,-73.877579,3
32,10,40.658337,-73.992964,2
32,10,40.658353,-73.904959,0
32,10,40.65836,-73.930076,0
32,10,40.658363,-73.980978,2
32,10,40.6583665,-73.891564,3
32,10,40.658393,-73.915567,0
32,10,40.6583965,-73.972672,1
32,10,40.658398,-73.919968,0
32,10,40.658418,-73.929143,0
32,10,40.658419,-73.92624,0
32,10,40.6584308,-74.0036636,2
32,10,40.658478,-73.928172,0
32,10,40.658481,-73.985645,2
32,10,40.6584966,-73.9850571,2
32,10,40.658498,-73.903992,0
32,10,40.658503,-73.914692,0
32,10,40.658514,-73.953309,1
32,10,40.6585218,-73.9732664,1
32,10,40.658526,-73.894913,0
32,10,40.65853,-73.939569,1
32,10,40.658537,-73.927201,0
32,10,40.658547,-73.996336,2
32,10,40.65863,-74.007041,2
32,10,40.658641,-73.903028,0
32,10,40.658645,-73.913736,0
32,10,40.658647,-73.923928,0
32,10,40.658656,-73.978514,2
32,10,40.658664,-73.881002,3
32,10,40.658675,-73.900187,0
32,10,40.658691,-73.989013,2
32,10,40.658693,-73.950416,1
32,10,40.658698,-73.936948,1
32,10,40.6587132,-73.975161,1
32,10,40.658714,-73.876708,3
32,10,40.6587243,-73.9203298,0
32,10,40.6587277,-73.8907359,3
32,10,40.6587685,-74.0027355,2
32,10,40.6587717,-73.999705,2
32,10,40.6587733,-73.8897106,3
32,10,40.658777,-73.902107,0
32,10,40.658779,-73.960519,1
32,10,40.6587799,-73.8724931,3
32,10,40.658783,-73.912817,0
32,10,40.658809,-73.981717,2
32,10,40.6588539,-73.8660913,3
32,10,40.6588672,-73.9668905,1
32,10,40.658876,-73.947522,1
32,10,40.658878,-73.894098,3
32,10,40.658899,-73.992383,2
32,10,40.658915,-73.901186,0
32,10,40.658918,-73.911897,0
32,10,40.658966,-73.919089,0
32,10,40.659011,-73.88019,3
32,10,40.659011,-73.94526,1
32,10,40.659017,-73.956725,1
32,10,40.6590182,-73.8716052,3
32,10,40.659029,-73.985071,2
32,10,40.65904,-73.875925,3
32,10,40.65905,-73.97934,2
32,10,40.659051,-73.900265,0
32,10,40.659061,-73.910943,0
32,10,40.659061,-73.884582,3
32,10,40.6590874,-73.8898854,3
32,10,40.659103,-73.896449,0
32,10,40.659107,-73.923216,0
32,10,40.659108,-73.995752,2
32,10,40.659112,-73.899217,0
32,10,40.6591333,-73.9863533,2
32,10,40.659192,-74.006452,2
32,10,40.659203,-73.909987,0
32,10,40.659227,-73.953384,1
32,10,40.65923,-73.893279,3
32,10,40.65925,-73.988428,2
32,10,40.659257,-73.978015,2
32,10,40.6593285,-73.8890346,3
32,10,40.659338,-73.927255,0
32,10,40.659339,-73.909066,0
32,10,40.659364,-73.879373,3
32,10,40.659364,-73.939659,1
32,10,40.6593795,-73.8707692,3
32,10,40.6593826,-73.8882987,3
32,10,40.659393,-73.875087,3
32,10,40.6593956,-73.9992251,2
32,10,40.659405,-73.950493,1
32,10,40.659416,-73.980092,2
32,10,40.659427,-73.883739,3
32,10,40.659451,-73.898456,0
32,10,40.659458,-73.9918,2
32,10,40.659478,-73.90813,0
32,10,40.659484,-73.918294,0
32,10,40.659496,-73.96056,1
32,10,40.6595013,-73.9655741,1
